scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan9,subset_middle,2pct,3,2,16,False,False,0.007165900897234678,0.007165900897234678,0.007165900897234678,0.0,0.0,9.90674114227295,4.60990571975708,0.9999018907546997,639.7727661132812,0.0
scan9,subset_middle,2pct,4,3,16,False,False,0.007297448348253965,0.007297448348253965,0.007297448348253965,0.0,0.0,9.050064086914062,4.607132911682129,1.0,639.609375,0.0
scan9,subset_middle,2pct,5,4,16,False,False,0.009042100980877876,0.009042100980877876,0.009042100980877876,0.0,0.0,12.825010299682617,5.5892534255981445,0.9985855221748352,623.806884765625,0.0
scan9,subset_uniform,5pct,0,0,15,True,True,0.00889956671744585,0.00889956671744585,0.00868688989430666,0.0,0.00021267682313919067,10.871349334716797,5.562961101531982,1.0,633.3557739257812,0.0
scan9,subset_uniform,5pct,1,8,15,True,True,0.007160136476159096,0.007160136476159096,0.006972805131226778,0.0,0.00018733134493231773,10.445868492126465,4.632920742034912,0.9995999932289124,646.8446655273438,0.0
scan9,subset_uniform,5pct,2,16,15,True,True,0.0066115474328398705,0.0066115474328398705,0.0064910766668617725,0.0,0.00012047076597809792,10.329071998596191,4.262209892272949,0.9995356202125549,649.1293334960938,0.0
scan9,subset_uniform,5pct,3,24,15,True,True,0.006452718283981085,0.006452718283981085,0.006245010532438755,0.0,0.0002077077515423298,10.235557556152344,4.2143473625183105,0.99985271692276,653.96630859375,0.0
scan9,subset_uniform,5pct,4,32,15,True,True,0.0061036706902086735,0.0061036706902086735,0.0059392573311924934,0.0,0.00016441335901618004,8.552140235900879,3.9198546409606934,1.0,649.0671997070312,0.0
scan9,subset_uniform,5pct,5,40,14,True,False,0.005808051209896803,0.005808051209896803,0.005553250201046467,0.0,0.0002548010088503361,8.244752883911133,3.5716137886047363,1.0,657.2416381835938,0.0
scan9,subset_uniform,2pct,0,0,16,False,True,0.00868688989430666,0.00868688989430666,0.00868688989430666,0.0,0.0,10.74161148071289,5.426607608795166,1.0,633.349365234375,0.0
scan9,subset_uniform,2pct,1,8,16,False,True,0.006972805131226778,0.006972805131226778,0.006972805131226778,0.0,0.0,10.359121322631836,4.49806547164917,0.999631404876709,646.8385009765625,0.0
scan9,subset_uniform,2pct,2,16,15,True,False,0.0066115474328398705,0.0066115474328398705,0.0064910766668617725,0.0,0.00012047076597809792,10.329071998596191,4.262209892272949,0.9995356202125549,649.1293334960938,0.0
scan9,subset_uniform,2pct,3,24,16,False,True,0.006245010532438755,0.006245010532438755,0.006245010532438755,0.0,0.0,10.179381370544434,4.074742794036865,0.9998456835746765,653.9602661132812,0.0
scan9,subset_uniform,2pct,4,32,16,False,True,0.0059392573311924934,0.0059392573311924934,0.0059392573311924934,0.0,0.0,8.383407592773438,3.8146634101867676,1.0,649.0614624023438,0.0
scan9,subset_uniform,2pct,5,40,15,True,False,0.005611225962638855,0.005611225962638855,0.005553250201046467,0.0,5.797576159238815e-05,8.048295021057129,3.4528985023498535,1.0,657.237548828125,0.0
scan10,subset_middle,5pct,0,24,14,True,True,0.004041743464767933,0.003998677246272564,0.0038403773214668036,4.306621849536896e-05,0.00020136614330112934,4.2544074058532715,2.905585527420044,1.0,655.5402221679688,0.0
scan10,subset_middle,5pct,1,0,14,True,True,0.004299377091228962,0.0042581879533827305,0.004204561002552509,4.118913784623146e-05,9.481608867645264e-05,6.521783351898193,2.7659451961517334,0.9998117685317993,627.20556640625,0.0
scan10,subset_middle,5pct,2,1,13,True,True,0.004711680579930544,0.004711680579930544,0.004530621226876974,0.0,0.0001810593530535698,4.680939197540283,3.1682121753692627,1.0,630.6524658203125,0.0
scan10,subset_middle,5pct,3,2,12,True,False,0.005029561463743448,0.005029561463743448,0.004848916083574295,0.0,0.0001806453801691532,5.489563465118408,3.3959827423095703,1.0,635.2680053710938,0.0
scan10,subset_middle,5pct,4,3,16,False,True,0.00400318531319499,0.00398319261148572,0.00398319261148572,1.9992701709270477e-05,1.9992701709270477e-05,5.93264627456665,2.5549464225769043,0.9994934797286987,644.4166870117188,0.0
scan10,subset_middle,5pct,5,4,16,False,True,0.003313959576189518,0.0032756798900663853,0.0032756798900663853,3.8279686123132706e-05,3.8279686123132706e-05,3.077713966369629,2.077880620956421,1.0,640.0117797851562,0.0
scan10,subset_middle,2pct,0,24,15,True,True,0.003860633121803403,0.0038621057756245136,0.0038403773214668036,-1.4726538211107254e-06,2.025580033659935e-05,3.9684641361236572,2.7721498012542725,1.0,655.5317993164062,0.0
