seq_id,scan,subset,sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops
scan1_subset_uniform,scan1,subset_uniform,power_K10_g1.5,Power K=10 (gamma=1.5),power,10,0.0031319364982967577,5.8818279504776,0.0,4.988685770694992,2891.34988
scan1_subset_uniform,scan1,subset_uniform,power_K10_g2.0,Power K=10 (gamma=2.0),power,10,0.0030358212534338236,5.873544931411743,0.0,14.465310833200116,2891.34988
scan1_subset_uniform,scan1,subset_uniform,cosine_late_K10,Cosine Late-Dense K=10,cosine,10,0.0030678543650234738,5.8789299329121905,0.0,25.395032654890098,2891.34988
scan1_subset_uniform,scan1,subset_uniform,cosine_early_K10,Cosine Early-Dense K=10,cosine,10,0.0038459874146307507,6.153738220532735,0.0,20.64684294972618,2891.34988
scan1_subset_uniform,scan1,subset_uniform,cosine_endpoints_K10,Cosine Endpoints-Dense K=10,cosine,10,0.0034460809159403047,6.004779656728108,0.0,8.658035090263493,2891.34988
scan1_subset_uniform,scan1,subset_uniform,cosine_middle_K10,Cosine Middle-Dense K=10,cosine,10,0.003242791552717487,5.898815751075745,0.0,17.740214718274924,2891.34988
scan1_subset_uniform,scan1,subset_uniform,piecewise_early_K10,Piecewise Early-Dense K=10,piecewise,10,0.0030538388527929783,5.891005833943685,0.0,6.953085297357319,2891.34988
scan1_subset_uniform,scan1,subset_uniform,piecewise_late_K10,Piecewise Late-Dense K=10,piecewise,10,0.0037805282045155764,6.131457289059957,0.0,23.165602952050207,2891.34988
scan1_subset_uniform,scan1,subset_uniform,piecewise_middle_K10,Piecewise Middle-Dense K=10,piecewise,10,0.003295346590069433,5.932041049003601,0.0,16.492934059275523,2891.34988
scan1_subset_uniform,scan1,subset_uniform,piecewise_endpoints_K10,Piecewise Endpoints-Dense K=10,piecewise,10,0.0031801079555104175,5.905619064966838,0.0,5.0300025721601775,2891.34988
scan1_subset_uniform,scan1,subset_uniform,random_K10_s42,Random Monotonic K=10 (seed=42),random,10,0.0035623502917587757,6.021273771921794,0.0,12.50842759176732,2891.34988
scan1_subset_uniform,scan1,subset_uniform,random_K10_s123,Random Monotonic K=10 (seed=123),random,10,0.003325339911195139,5.963292479515076,0.0,5.7986673211309805,2891.34988
scan1_subset_uniform,scan1,subset_uniform,random_K10_s999,Random Monotonic K=10 (seed=999),random,10,0.003102115821093321,5.840989549954732,0.0,5.144553871418904,2891.34988
scan1_subset_uniform,scan1,subset_uniform,power_K12_g0.5,Power K=12 (gamma=0.5),power,12,0.0038926137688880167,6.197491685549418,0.0,6.413387210131233,3469.6198560000003
