seq_id,scan,subset,sched_key,sched_name,sched_type,total_steps,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops
scan4_subset_middle,scan4,subset_middle,varA_skip_15,VarA: Skip 15,variantA,16,0.0076825635818143,19.45547087987264,0.0,12.68192828829435,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varA_skip_15_16,"VarA: Skip {15,16}",variantA,16,0.0077157594108333,19.74167458216349,0.0,11.62226061722513,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varA_skip_14_16,"VarA: Skip {14,16}",variantA,16,0.0077101332135498,19.494571844736736,0.0,21.78412130438884,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varA_skip_even_after_10,"VarA: Skip {12,14,16}",variantA,16,0.0078469354969759,19.571790377298992,0.0,15.11133445744884,4060.483788999999
scan4_subset_middle,scan4,subset_middle,varA_skip_13_15,"VarA: Skip {13,15}",variantA,16,0.0077457129179189,19.45841900507609,0.0,23.44217751752032,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_16_a0.5,VarB: reuse_16 (α=0.5),variantB,16,0.007565461564809,19.53772258758545,0.0,11.722116204195617,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_16_a0.75,VarB: reuse_16 (α=0.75),variantB,16,0.0076425953302532,19.51193078358968,0.0,6.704775797793914,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_16_a1.0,VarB: reuse_16 (α=1.0),variantB,16,0.0077414363622665,19.500189463297527,0.0,18.398853790855416,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_15_a0.5,VarB: reuse_15 (α=0.5),variantB,16,0.0076715465014179,19.478986899058025,0.0,10.62130564357426,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_15_a0.75,VarB: reuse_15 (α=0.75),variantB,16,0.0076927090995013,19.50418217976888,0.0,17.309635057324826,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_15_a1.0,VarB: reuse_15 (α=1.0),variantB,16,0.0076973397905627,19.514168580373127,0.0,14.185277452819532,4437.601134999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_15_16_a0.5,VarB: reuse_15_16 (α=0.5),variantB,16,0.0075445257437725,19.54849100112915,0.0,22.836611060290185,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_15_16_a0.75,VarB: reuse_15_16 (α=0.75),variantB,16,0.0077204569242894,19.49682680765788,0.0,25.625948223958417,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_15_16_a1.0,VarB: reuse_15_16 (α=1.0),variantB,16,0.0080014189394811,19.46116367975871,0.0,8.088337158016271,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_14_16_a0.5,VarB: reuse_14_16 (α=0.5),variantB,16,0.0078387325629591,19.43340412775676,0.0,10.039794632353235,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_14_16_a0.75,VarB: reuse_14_16 (α=0.75),variantB,16,0.0078646899200975,19.44610611597697,0.0,7.480831745261597,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_14_16_a1.0,VarB: reuse_14_16 (α=1.0),variantB,16,0.0078642352018505,19.471072514851887,0.0,11.559019415452305,4249.042461999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_even_after_10_a0.5,VarB: reuse_even_after_10 (α=0.5),variantB,16,0.0076604596494386,19.476295948028564,0.0,24.62012969315778,4060.483788999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_even_after_10_a0.75,VarB: reuse_even_after_10 (α=0.75),variantB,16,0.0077493999463816,19.46920728683472,0.0,24.45351265337536,4060.483788999999
scan4_subset_middle,scan4,subset_middle,varB_reuse_even_after_10_a1.0,VarB: reuse_even_after_10 (α=1.0),variantB,16,0.0081414422796418,19.43435843785604,0.0,12.967990893656106,4060.483788999999
scan4_subset_middle,scan4,subset_middle,varC_frozen_kv_16,VarC: Freeze K/V 16,variantC,16,0.0078033981844782,19.49344603220622,0.0,17.297572249559497,4612.330084999999
scan4_subset_middle,scan4,subset_middle,varC_frozen_kv_15,VarC: Freeze K/V 15,variantC,16,0.0078420060841987,19.49464686711629,0.0,16.55902063959399,4612.330085
scan4_subset_middle,scan4,subset_middle,varC_frozen_kv_15_16,"VarC: Freeze K/V {15,16}",variantC,16,0.0081930238132675,19.472506682078045,0.0,16.58050448380669,4598.500361999999
scan4_subset_middle,scan4,subset_middle,varC_frozen_kv_14_16,"VarC: Freeze K/V {14,16}",variantC,16,0.0082077149612208,19.44473107655843,0.0,9.778736842614792,4598.500362
scan4_subset_middle,scan4,subset_middle,varC_frozen_kv_even_after_10,"VarC: Freeze K/V {12,14,16}",variantC,16,0.0084398550291856,19.355827649434406,0.0,16.6515389669964,4584.670638999999
scan4_subset_uniform,scan4,subset_uniform,fixed_16,Fixed i=16,fixed,16,0.0070365540062387,15.331679026285808,0.0,17.932847112619225,4626.159807999999
scan4_subset_uniform,scan4,subset_uniform,fixed_15,Fixed i=15,fixed,15,0.00708039283442,15.341914653778076,0.0,25.242769497772304,4337.024819999999
scan4_subset_uniform,scan4,subset_uniform,fixed_14,Fixed i=14,fixed,14,0.0072813040266434,15.461987336476644,0.0,8.400102103176854,4047.889831999999
scan4_subset_uniform,scan4,subset_uniform,fixed_13,Fixed i=13,fixed,13,0.0077185029319177,15.697071075439451,0.0,7.524946247350368,3758.754843999999
scan4_subset_uniform,scan4,subset_uniform,varA_skip_16,VarA: Skip 16,variantA,16,0.0073673297495891,15.428925355275473,0.0,28.04471838340608,4437.601134999999
scan4_subset_uniform,scan4,subset_uniform,varA_skip_15,VarA: Skip 15,variantA,16,0.006954948650673,15.19794543584188,0.0,20.18046205182867,4437.601134999999
scan4_subset_uniform,scan4,subset_uniform,varA_skip_15_16,"VarA: Skip {15,16}",variantA,16,0.0080306519133349,15.622588475545248,1.1944405724589888,18.030357988139794,4249.042461999999
scan4_subset_uniform,scan4,subset_uniform,varA_skip_14_16,"VarA: Skip {14,16}",variantA,16,0.0073821643988291,15.231364250183104,0.0,25.335712461948532,4249.042461999999
scan4_subset_uniform,scan4,subset_uniform,varA_skip_even_after_10,"VarA: Skip {12,14,16}",variantA,16,0.0077041545106718,15.21612024307251,1.1944405724589888,20.05260340073916,4060.483788999999
scan4_subset_uniform,scan4,subset_uniform,varA_skip_13_15,"VarA: Skip {13,15}",variantA,16,0.0070767127908766,15.099403222401936,0.0,12.232606499326977,4249.042461999999
