scene,subset,view_idx,frame_id,step_i,abs_rel,rmse,mae,delta1,geom_l2,rot_err_deg,trans_err_deg,hidden_delta_1step,hidden_delta_2step,depth_delta,abs_rel_16,future_gain,oracle_k_star_1pct,oracle_k_star_2pct,oracle_k_star_5pct,oracle_k_star_10pct,safe_to_halt_1pct,safe_to_halt_2pct,safe_to_halt_5pct,safe_to_halt_10pct
scan1,subset_uniform,2,16,11,0.002873355522751808,2.8429229259490967,1.8812801837921143,1.0,652.5848999023438,0.0,0.0,0.05993074178695679,0.11694741249084473,0.003403180744498968,0.0026719924062490463,0.00020136311650276184,13,13,12,11,0,0,0,1
scan1,subset_uniform,3,24,11,0.002939424244686961,6.012634754180908,1.8875460624694824,0.9996611475944519,645.3715209960938,0.0,3.5388376712799072,0.05924111232161522,0.11544814705848694,0.005225107539445162,0.0035596389789134264,-0.0006202147342264652,9,9,8,8,1,1,1,1
scan1,subset_uniform,4,32,11,0.0028662369586527348,4.049057483673096,1.8124468326568604,1.0,642.3491821289062,0.0,0.0,0.05995723605155945,0.11691199243068695,0.005379555281251669,0.0036821523681282997,-0.000815915409475565,8,8,8,8,1,1,1,1
scan1,subset_uniform,5,40,11,0.0031783294398337603,2.9689157009124756,1.9755843877792358,1.0,653.5107421875,0.0,0.0,0.06238505616784096,0.12236678600311279,0.007469210773706436,0.0026711286045610905,0.0005072008352726698,15,15,14,13,0,0,0,0
scan1,subset_uniform,0,0,12,0.004125028848648071,16.687217712402344,2.9213716983795166,0.9972233176231384,644.5923461914062,0.0,0.0,0.05683335289359093,0.1088850274682045,0.002456163987517357,0.003913204185664654,0.0002118246629834175,13,13,13,12,0,0,0,1
scan1,subset_uniform,1,8,12,0.002861228073015809,3.0899791717529297,1.8485976457595825,0.9999626874923706,651.0377807617188,0.0,1.5448436737060547,0.05976449325680733,0.11490242183208466,0.003200459759682417,0.002798883244395256,6.234482862055302e-05,13,13,12,12,0,0,1,1
scan1,subset_uniform,2,16,12,0.0027481396682560444,2.7406728267669678,1.7962210178375244,1.0,652.581298828125,0.0,1.4093104600906372,0.06087068095803261,0.11704430729150772,0.004045227076858282,0.0026719924062490463,7.614726200699806e-05,13,13,12,11,0,0,1,1
scan1,subset_uniform,3,24,12,0.002964656101539731,5.998316764831543,1.8989545106887817,0.9996363520622253,645.36767578125,0.0,2.6523990631103516,0.060450758785009384,0.11608681082725525,0.005043123383074999,0.0035596389789134264,-0.0005949828773736954,9,9,8,8,1,1,1,1
scan1,subset_uniform,4,32,12,0.0029483316466212273,4.048820495605469,1.862963080406189,1.0,642.3453369140625,0.0,0.0,0.061069246381521225,0.11744081228971481,0.004824027419090271,0.0036821523681282997,-0.0007338207215070724,8,8,8,8,1,1,1,1
scan1,subset_uniform,5,40,12,0.002992873778566718,2.77679181098938,1.8557820320129395,1.0,653.5070190429688,0.0,1.9397711753845215,0.06271424889564514,0.1212998628616333,0.006960628554224968,0.0026711286045610905,0.00032174517400562763,15,15,14,13,0,0,0,0
scan1,subset_uniform,0,0,13,0.00381814525462687,16.603591918945312,2.7103006839752197,0.9972233176231384,644.5872802734375,0.0,0.0,0.056485094130039215,0.1101766899228096,0.003081713104620576,0.003913204185664654,-9.505893103778362e-05,13,13,13,12,1,1,1,1
scan1,subset_uniform,1,8,13,0.0027239162009209394,3.0289206504821777,1.7624412775039673,0.9999626874923706,651.0327758789062,0.0,2.572528839111328,0.0590221993625164,0.11530452966690063,0.004110259469598532,0.002798883244395256,-7.49670434743166e-05,13,13,12,12,1,1,1,1
scan1,subset_uniform,2,16,13,0.002662300830706954,2.644639730453491,1.7345949411392212,1.0,652.5764770507812,0.0,0.3146578073501587,0.06007647141814232,0.11738835275173187,0.005515387747436762,0.0026719924062490463,-9.691575542092323e-06,13,13,12,11,1,1,1,1
scan1,subset_uniform,3,24,13,0.0030550812371075153,6.028078079223633,1.9547481536865234,0.9996198415756226,645.3629150390625,0.0,2.3526008129119873,0.06027349829673767,0.11726313084363937,0.005641189869493246,0.0035596389789134264,-0.0005045577418059111,9,9,8,8,1,1,1,1
scan1,subset_uniform,4,32,13,0.00312864501029253,4.132368564605713,1.9785654544830322,1.0,642.3406982421875,0.0,4.089692115783691,0.06115908920764923,0.11872837692499161,0.005219863262027502,0.0036821523681282997,-0.0005535073578357697,8,8,8,8,1,1,1,1
scan1,subset_uniform,5,40,13,0.0028555472381412983,2.657299041748047,1.7700687646865845,1.0,653.5033569335938,0.0,0.0,0.06181449815630913,0.12090836465358734,0.006272403057664633,0.0026711286045610905,0.00018441863358020782,15,15,14,13,0,0,0,1
scan1,subset_uniform,0,0,14,0.003800271777436137,16.556955337524414,2.6916000843048096,0.9972233176231384,644.5823974609375,0.0,0.0,0.05870366841554642,0.11202317476272583,0.0034022682812064886,0.003913204185664654,-0.00011293240822851658,13,13,13,12,1,1,1,1
scan1,subset_uniform,1,8,14,0.00271438411436975,3.053664207458496,1.7620818614959717,0.9999552369117737,651.0278930664062,0.0,0.0,0.06095562130212784,0.1165497675538063,0.004007629584521055,0.002798883244395256,-8.449913002550602e-05,13,13,12,12,1,1,1,1
scan1,subset_uniform,2,16,14,0.002674191491678357,2.619941473007202,1.7369166612625122,1.0,652.5719604492188,0.0,1.727484107017517,0.062167905271053314,0.11872237175703049,0.006249034311622381,0.0026719924062490463,2.1990854293107986e-06,13,13,12,11,1,1,1,1
